Instance1:2640504=7.289091,460402=8.272186,4570722=7.060094,2510348=7.37322,60026=7.84185,1410301=6.993637,6760040=7.104563,430471=7.123722,7040541=7.61283,5720097=7.640137,130148=7.488729,580435=7.240321,510390=8.25669,2030070=7.104669,3870487=7.042878,50398=7.290344,3290136=8.176402,430048=7.6801,2350441=7.266656,770446=7.329036,770110=8.382707,1230403=9.371858,1780750=7.449913,6940400=7.320945,2260725=7.704271,1740750=7.685845,1050280=8.879574,3520164=7.352114,1570022=7.192011,4760026=7.136523,5550347=8.284242,2480014=8.079292,1190113=7.80658,2030131=7.275782,5390100=7.139912,2940408=7.214612,6450746=7.714678,Class=EndothetialControl,4760592=7.823416,1500315=8.217601,6450707=9.961113,2120411=8.229285,1500026=9.87407
Instance2:2640504=7.295111,460402=8.345154,4570722=6.983559,2510348=7.258552,60026=7.922715,1410301=6.989119,6760040=7.250972,430471=7.094376,7040541=7.636474,5720097=7.687978,130148=7.280189,580435=7.199611,510390=8.212689,2030070=7.071092,3870487=7.145654,50398=7.479663,3290136=8.170968,430048=7.688354,2350441=7.171065,770446=7.345851,770110=8.335007,1230403=9.164763,1780750=7.637082,6940400=7.308987,2260725=7.755416,1740750=7.484489,1050280=8.85643,3520164=7.183491,1570022=7.138209,4760026=7.138235,5550347=8.359202,2480014=7.99126,1190113=7.728824,2030131=7.261089,5390100=7.110598,2940408=7.285828,6450746=7.667834,Class=EndothetialControl,4760592=7.626223,1500315=8.186538,6450707=10.0058,2120411=8.164134,1500026=9.835712
Instance3:2640504=7.286045,460402=8.30067,4570722=7.113691,2510348=7.275588,60026=8.01406,1410301=7.093759,6760040=7.241576,430471=7.175727,7040541=7.56526,5720097=7.637739,130148=7.27875,580435=7.24306,510390=8.439979,2030070=7.065554,3870487=6.991775,50398=7.247231,3290136=8.149069,430048=7.731105,2350441=7.312554,770446=7.405835,770110=8.350614,1230403=9.701433,1780750=7.605224,6940400=7.276131,2260725=7.619043,1740750=7.555264,1050280=8.795243,3520164=7.26524,1570022=7.307683,4760026=7.113275,5550347=8.153545,2480014=8.142895,1190113=7.56024,2030131=7.208411,5390100=7.306223,2940408=7.230159,6450746=7.772863,Class=EndothetialControl,4760592=7.745167,1500315=8.326266,6450707=9.832683,2120411=8.099495,1500026=9.836554
Instance4:2640504=7.743369,460402=8.314225,4570722=7.422376,2510348=7.098843,60026=8.538186,1410301=7.25847,6760040=7.195551,430471=6.920878,7040541=10.519149,5720097=7.627594,130148=7.522947,580435=7.218717,510390=8.286609,2030070=7.17879,3870487=7.042524,50398=8.080011,3290136=11.848653,430048=7.907051,2350441=7.275169,770446=7.309295,770110=8.321609,1230403=8.878659,1780750=7.545053,6940400=7.563725,2260725=9.087474,1740750=7.637436,1050280=8.713335,3520164=7.191136,1570022=7.342999,4760026=7.118587,5550347=8.334352,2480014=8.288457,1190113=7.912981,2030131=7.26512,5390100=7.220643,2940408=7.371872,6450746=7.922953,Class=Endothetial4hrIFNa2a,4760592=7.752993,1500315=8.33213,6450707=10.271172,2120411=8.855607,1500026=9.836554
Instance5:2640504=7.78374,460402=8.537139,4570722=7.3532,2510348=7.305885,60026=8.52419,1410301=7.228741,6760040=7.155852,430471=7.139186,7040541=10.295289,5720097=7.844319,130148=7.360691,580435=7.082693,510390=8.10835,2030070=7.155942,3870487=7.110338,50398=8.081824,3290136=11.935324,430048=7.807878,2350441=7.294632,770446=7.285937,770110=8.581695,1230403=8.980028,1780750=7.488034,6940400=7.323105,2260725=9.067422,1740750=7.483004,1050280=8.698038,3520164=7.272893,1570022=7.076017,4760026=7.221557,5550347=8.173322,2480014=8.377879,1190113=7.74652,2030131=7.17096,5390100=7.113844,2940408=7.465343,6450746=8.183797,Class=Endothetial4hrIFNa2a,4760592=7.873187,1500315=8.283932,6450707=10.212376,2120411=8.604559,1500026=9.913167
Instance6:2640504=7.675201,460402=8.467586,4570722=7.266699,2510348=7.244114,60026=8.576564,1410301=7.146713,6760040=7.181155,430471=7.119135,7040541=10.432091,5720097=7.436332,130148=7.228291,580435=7.300282,510390=8.260109,2030070=7.006346,3870487=7.123556,50398=7.975243,3290136=11.909004,430048=7.784524,2350441=7.225645,770446=7.430303,770110=8.375435,1230403=9.097716,1780750=7.552718,6940400=7.523664,2260725=9.214135,1740750=7.560004,1050280=8.655989,3520164=7.321418,1570022=7.255397,4760026=7.224442,5550347=8.064139,2480014=8.628079,1190113=7.784345,2030131=7.28406,5390100=7.317473,2940408=7.186675,6450746=8.01204,Class=Endothetial4hrIFNa2a,4760592=7.829348,1500315=8.397215,6450707=10.078883,2120411=8.467238,1500026=10.042381
Instance7:2640504=7.550445,460402=8.145918,4570722=6.867588,2510348=7.189231,60026=7.944506,1410301=7.195527,6760040=7.243644,430471=7.257396,7040541=10.109511,5720097=7.495708,130148=7.487771,580435=7.434036,510390=8.260674,2030070=7.253531,3870487=7.224011,50398=7.638883,3290136=12.501126,430048=7.931508,2350441=7.244571,770446=7.333775,770110=8.391126,1230403=9.72509,1780750=7.659911,6940400=7.390711,2260725=8.623445,1740750=7.760663,1050280=9.007952,3520164=7.450789,1570022=7.178765,4760026=7.109133,5550347=8.462054,2480014=7.943565,1190113=7.829738,2030131=7.297201,5390100=7.163579,2940408=7.081048,6450746=7.647115,Class=Endothetial24hrIFNa2a,4760592=7.609256,1500315=8.202191,6450707=9.943816,2120411=8.228125,1500026=9.824781
Instance8:2640504=7.60742,460402=8.23284,4570722=6.948738,2510348=7.252779,60026=8.048741,1410301=7.174713,6760040=7.207847,430471=6.944619,7040541=9.833381,5720097=7.575115,130148=7.502131,580435=7.255731,510390=8.18619,2030070=7.32347,3870487=7.081086,50398=7.646285,3290136=12.04649,430048=7.765907,2350441=7.2451,770446=7.349493,770110=8.53249,1230403=9.326022,1780750=7.569832,6940400=7.3682,2260725=8.624195,1740750=7.663895,1050280=8.939829,3520164=7.228685,1570022=7.218477,4760026=7.167168,5550347=8.177876,2480014=7.973644,1190113=7.936922,2030131=7.234403,5390100=7.116662,2940408=7.237588,6450746=7.670469,Class=Endothetial24hrIFNa2a,4760592=7.57586,1500315=8.175092,6450707=9.821605,2120411=8.071504,1500026=9.95413
Instance9:2640504=7.4933,460402=8.260674,4570722=7.184087,2510348=7.286651,60026=7.980551,1410301=7.186603,6760040=7.234403,430471=7.048315,7040541=9.569876,5720097=7.74099,130148=7.453994,580435=7.295317,510390=8.211227,2030070=7.038183,3870487=7.044883,50398=7.703247,3290136=12.064929,430048=7.783156,2350441=7.274127,770446=7.358628,770110=8.462763,1230403=9.39472,1780750=7.533622,6940400=7.401419,2260725=8.634708,1740750=7.60508,1050280=8.933549,3520164=7.36759,1570022=7.271219,4760026=7.036497,5550347=8.217601,2480014=8.097562,1190113=7.893611,2030131=7.291255,5390100=7.196015,2940408=7.296537,6450746=7.798597,Class=Endothetial24hrIFNa2a,4760592=7.519323,1500315=8.253139,6450707=9.886355,2120411=8.183253,1500026=9.927573
Instance10:2640504=7.227737,460402=9.406752,4570722=7.055251,2510348=7.397507,60026=7.839585,1410301=6.968396,6760040=7.298789,430471=7.047319,7040541=7.863684,5720097=7.799583,130148=7.188647,580435=7.175445,510390=8.526959,2030070=7.155358,3870487=7.081162,50398=7.327011,3290136=8.992455,430048=9.312296,2350441=7.056336,770446=7.39515,770110=8.430385,1230403=9.432742,1780750=7.641987,6940400=7.381867,2260725=7.444702,1740750=7.596069,1050280=8.755945,3520164=7.311404,1570022=7.194056,4760026=7.057125,5550347=8.235206,2480014=7.879808,1190113=7.854983,2030131=7.190902,5390100=7.19839,2940408=7.196688,6450746=7.406533,Class=EndothetialControl,4760592=7.640586,1500315=8.051273,6450707=9.618527,2120411=8.05673,1500026=9.285031
Instance11:2640504=7.263494,460402=9.329748,4570722=7.136842,2510348=7.32043,60026=7.757133,1410301=7.121741,6760040=7.177726,430471=7.15846,7040541=7.844704,5720097=7.87109,130148=7.111894,580435=7.113505,510390=8.564313,2030070=7.232972,3870487=7.059737,50398=7.411224,3290136=8.868958,430048=9.387861,2350441=7.118341,770446=7.238724,770110=8.448062,1230403=9.712249,1780750=7.681907,6940400=7.521509,2260725=7.29738,1740750=7.456928,1050280=8.553443,3520164=7.198796,1570022=7.15724,4760026=6.932475,5550347=8.317153,2480014=7.819507,1190113=7.657933,2030131=7.190378,5390100=7.295591,2940408=7.072839,6450746=7.205402,Class=EndothetialControl,4760592=7.624923,1500315=7.89295,6450707=9.679435,2120411=8.161381,1500026=9.279123
Instance12:2640504=7.239237,460402=9.41129,4570722=7.200775,2510348=7.202637,60026=7.858132,1410301=7.153464,6760040=7.265896,430471=7.109948,7040541=8.03439,5720097=7.720874,130148=7.291825,580435=7.252126,510390=8.653346,2030070=7.179247,3870487=7.114137,50398=7.175515,3290136=8.998518,430048=9.549175,2350441=7.026999,770446=7.289857,770110=8.39755,1230403=9.342581,1780750=7.691315,6940400=7.358875,2260725=7.508655,1740750=7.75467,1050280=8.661985,3520164=7.329009,1570022=7.231787,4760026=6.924636,5550347=8.439341,2480014=7.78374,1190113=7.826058,2030131=7.119915,5390100=7.300071,2940408=7.159828,6450746=7.352525,Class=EndothetialControl,4760592=7.706466,1500315=7.987276,6450707=9.558606,2120411=8.090665,1500026=9.208057
Instance13:2640504=8.376149,460402=9.350412,4570722=7.244445,2510348=7.028918,60026=7.977659,1410301=7.026408,6760040=7.322616,430471=7.163758,7040541=10.572263,5720097=7.700988,130148=7.102047,580435=7.385892,510390=8.503936,2030070=7.096007,3870487=7.03523,50398=7.7801,3290136=11.544115,430048=9.124388,2350441=7.066139,770446=7.350364,770110=8.461409,1230403=9.951616,1780750=7.551516,6940400=7.424995,2260725=9.135875,1740750=7.714215,1050280=9.190155,3520164=7.274429,1570022=7.292241,4760026=7.142778,5550347=8.447756,2480014=7.850215,1190113=7.796624,2030131=7.216234,5390100=7.242249,2940408=7.136621,6450746=7.506463,Class=Endothetial4hrIFNa2a,4760592=7.65667,1500315=8.120402,6450707=10.167159,2120411=8.170101,1500026=9.209302
Instance14:2640504=8.269413,460402=9.467734,4570722=7.29691,2510348=7.3847,60026=8.125676,1410301=7.091977,6760040=7.217482,430471=7.120326,7040541=10.666933,5720097=7.693815,130148=7.220342,580435=7.422313,510390=8.544712,2030070=7.226889,3870487=7.069199,50398=7.90975,3290136=11.314164,430048=9.202134,2350441=7.054181,770446=7.326047,770110=8.382555,1230403=9.636981,1780750=7.569832,6940400=7.53783,2260725=9.102028,1740750=7.529736,1050280=8.975019,3520164=7.297736,1570022=7.182788,4760026=7.03234,5550347=8.412625,2480014=7.837839,1190113=7.871281,2030131=7.137707,5390100=7.246045,2940408=7.112889,6450746=7.556211,Class=Endothetial4hrIFNa2a,4760592=7.696025,1500315=7.988495,6450707=10.004768,2120411=8.212032,1500026=9.0553
Instance15:2640504=8.414341,460402=9.487201,4570722=7.255218,2510348=7.305158,60026=7.944739,1410301=6.986163,6760040=7.127869,430471=7.007146,7040541=10.492804,5720097=7.684163,130148=7.204179,580435=7.148356,510390=8.506842,2030070=7.082651,3870487=6.983559,50398=7.51411,3290136=11.390771,430048=9.070227,2350441=7.182387,770446=7.453843,770110=8.470302,1230403=9.708663,1780750=7.443653,6940400=7.450556,2260725=9.124388,1740750=7.577156,1050280=9.2857,3520164=7.173185,1570022=7.250568,4760026=7.156293,5550347=8.469981,2480014=7.74981,1190113=7.768362,2030131=7.298867,5390100=7.114606,2940408=7.171065,6450746=7.651381,Class=Endothetial4hrIFNa2a,4760592=7.708599,1500315=8.015353,6450707=10.036741,2120411=8.272186,1500026=9.128144
