Instance11:'219691_at'=23.644168004886,'215485_s_at'=120.587081093139,'205114_s_at'=43.7210929353962,'204655_at'=38.4091685436752,'208864_s_at'=401.995800674899,'220091_at'=53.7457846768936,'205569_at'=249.562288114836,'219424_at'=68.961912290483,'214486_x_at'=233.713791008253,'202643_s_at'=524.380355953899,'209508_x_at'=206.95788430947,'203149_at'=70.9816377417371,'203358_s_at'=346.009603215154,'205590_at'=575.577489626453,'206026_s_at'=19.0734133643748,'221477_s_at'=60.8902861834216,'204439_at'=20.1474277990529,'211317_s_at'=72.0301979849627,'203595_s_at'=67.656825745656,'201502_s_at'=1960.48220576713,'208436_s_at'=100.804500832678,'204385_at'=103.198614638122,'211316_x_at'=388.335031756577,'203882_at'=220.47876569765,'208485_x_at'=198.345601930614,'202086_at'=72.9096363277307,'207535_s_at'=236.296055593251,'204490_s_at'=704.134768648888,'204415_at'=66.0995250395775,'202644_s_at'=2087.36389466258,'215223_s_at'=88.6405805209135,'1405_i_at'=18.5408909644807,'206025_s_at'=18.9632462519136,'205226_at'=18.2902469877666,'32541_at'=22.6024038617919,'212960_at'=47.8259296037276,'213098_at'=116.377141342228,Class=conventionalTcells,'210663_s_at'=52.2623125799349,'202907_s_at'=134.553124480091,'218656_s_at'=13.5462665278207,'210029_at'=49.1492435604069,'211862_x_at'=225.754233829095,'212841_s_at'=53.0463530272703,'215299_x_at'=97.1546682099268
Instance12:'219691_at'=31.8654541911231,'215485_s_at'=139.791996623574,'205114_s_at'=43.2538759929918,'204655_at'=27.6544839206977,'208864_s_at'=105.561990642622,'220091_at'=42.6903092675729,'205569_at'=27.399377280462,'219424_at'=48.1498332249324,'214486_x_at'=111.101566645339,'202643_s_at'=3845.59624424454,'209508_x_at'=93.1425938584961,'203149_at'=95.755298878521,'203358_s_at'=46.8698533271764,'205590_at'=739.00821708139,'206026_s_at'=20.7229260138785,'221477_s_at'=120.938123545301,'204439_at'=31.9114292546136,'211317_s_at'=36.1144729166158,'203595_s_at'=82.4378558658306,'201502_s_at'=5012.56699765308,'208436_s_at'=115.299612467205,'204385_at'=114.761414921363,'211316_x_at'=132.912609395257,'203882_at'=406.875653198899,'208485_x_at'=113.687026043905,'202086_at'=202.448906778561,'207535_s_at'=346.406571953245,'204490_s_at'=761.156740081794,'204415_at'=87.0218452988618,'202644_s_at'=7315.64083662417,'215223_s_at'=328.901529721466,'1405_i_at'=16.6031937010122,'206025_s_at'=18.2159530485559,'205226_at'=26.8434408483838,'32541_at'=37.9213491024342,'212960_at'=54.7572172334984,'213098_at'=59.5998757410241,Class=naiveTcells,'210663_s_at'=78.230953091538,'202907_s_at'=69.2878339124422,'218656_s_at'=13.3407715769118,'210029_at'=66.2974507077901,'211862_x_at'=106.813550247132,'212841_s_at'=81.4768252869538,'215299_x_at'=180.161021284762
Instance13:'219691_at'=23.5485742050514,'215485_s_at'=247.909165774627,'205114_s_at'=72.5621745950371,'204655_at'=42.5807979887973,'208864_s_at'=558.077174199376,'220091_at'=53.149472561637,'205569_at'=58.4124632440669,'219424_at'=96.9225137931307,'214486_x_at'=133.059306821643,'202643_s_at'=309.372662008566,'209508_x_at'=94.7805689840386,'203149_at'=90.4277024595777,'203358_s_at'=139.11066664961,'205590_at'=182.404954487018,'206026_s_at'=17.4127840180017,'221477_s_at'=76.3470161994643,'204439_at'=36.0525411186108,'211317_s_at'=42.2939765765867,'203595_s_at'=55.8083940161064,'201502_s_at'=1503.67083765842,'208436_s_at'=87.5860743229986,'204385_at'=108.300289392391,'211316_x_at'=133.29218955825,'203882_at'=200.222542006016,'208485_x_at'=106.72933567798,'202086_at'=174.278286732062,'207535_s_at'=208.207062267278,'204490_s_at'=364.375124713679,'204415_at'=86.3450292465394,'202644_s_at'=1606.97345741778,'215223_s_at'=114.413430206919,'1405_i_at'=26.103326488363,'206025_s_at'=18.2535001103214,'205226_at'=27.1040145833258,'32541_at'=23.9380530598562,'212960_at'=56.314113269669,'213098_at'=97.1874507040345,Class=conventionalTcells,'210663_s_at'=59.4901710381523,'202907_s_at'=56.8597662029821,'218656_s_at'=17.6356779261806,'210029_at'=61.0841375032228,'211862_x_at'=122.362660429175,'212841_s_at'=50.0490108923199,'215299_x_at'=115.247611590727
Instance14:'219691_at'=27.3628531915475,'215485_s_at'=227.368140524208,'205114_s_at'=59.1609898701637,'204655_at'=183.758539175319,'208864_s_at'=469.934100535518,'220091_at'=52.5351019540892,'205569_at'=54.7586532931868,'219424_at'=98.9766475190765,'214486_x_at'=100.4588826777,'202643_s_at'=211.078442071258,'209508_x_at'=64.0247070698282,'203149_at'=163.277039257958,'203358_s_at'=140.798578150867,'205590_at'=185.792459006213,'206026_s_at'=19.0808853349963,'221477_s_at'=33.5658798427563,'204439_at'=36.8996336886394,'211317_s_at'=40.3378044597098,'203595_s_at'=78.2886357337605,'201502_s_at'=810.744004530625,'208436_s_at'=98.6335543718082,'204385_at'=119.957185170413,'211316_x_at'=105.599621239353,'203882_at'=209.204211151055,'208485_x_at'=100.154579974146,'202086_at'=274.863900772879,'207535_s_at'=112.217338600733,'204490_s_at'=429.670875613597,'204415_at'=212.729756395637,'202644_s_at'=1053.75417681487,'215223_s_at'=80.6800402764809,'1405_i_at'=60.9693610306399,'206025_s_at'=19.289773223918,'205226_at'=42.5484743865758,'32541_at'=22.4730750721043,'212960_at'=68.724818800193,'213098_at'=102.228532038488,Class=conventionalTcells,'210663_s_at'=59.8279144873852,'202907_s_at'=53.8250407892775,'218656_s_at'=16.4271463757325,'210029_at'=76.2525755503761,'211862_x_at'=94.4966264380608,'212841_s_at'=47.9289422421419,'215299_x_at'=85.7470038679267
Instance15:'219691_at'=25.345722173356,'215485_s_at'=171.755345281024,'205114_s_at'=46.4344299842411,'204655_at'=56.0549564630573,'208864_s_at'=1165.92797322552,'220091_at'=43.1664860733539,'205569_at'=48.0518134906052,'219424_at'=70.21359376822,'214486_x_at'=114.426430613584,'202643_s_at'=390.083959220709,'209508_x_at'=87.9982237679586,'203149_at'=71.5432638297275,'203358_s_at'=345.998234086268,'205590_at'=669.579136386333,'206026_s_at'=17.2489340582589,'221477_s_at'=42.6000663791426,'204439_at'=16.6628020723365,'211317_s_at'=53.3357157032874,'203595_s_at'=52.9238795741449,'201502_s_at'=1256.81917926642,'208436_s_at'=65.3185286083123,'204385_at'=111.91316413052,'211316_x_at'=140.930063119824,'203882_at'=283.196992306284,'208485_x_at'=120.352635683684,'202086_at'=70.3238231721095,'207535_s_at'=181.788072149485,'204490_s_at'=559.085963821941,'204415_at'=64.2649534132647,'202644_s_at'=1495.89422140344,'215223_s_at'=121.979426583073,'1405_i_at'=26.0735732934733,'206025_s_at'=15.6663007288189,'205226_at'=18.8209520218646,'32541_at'=26.803860258396,'212960_at'=41.7783132789667,'213098_at'=96.9874764643295,Class=conventionalTcells,'210663_s_at'=50.5946922741599,'202907_s_at'=64.2108590423885,'218656_s_at'=13.7349943964347,'210029_at'=47.4748929408347,'211862_x_at'=135.739012197528,'212841_s_at'=44.9594968118672,'215299_x_at'=106.834299735763
Instance16:'219691_at'=25.383855658992,'215485_s_at'=213.120273518027,'205114_s_at'=35.0208000345401,'204655_at'=296.125233638382,'208864_s_at'=946.07585680534,'220091_at'=38.3923422352483,'205569_at'=44.467992812374,'219424_at'=75.232594156876,'214486_x_at'=137.317655081313,'202643_s_at'=329.295572460967,'209508_x_at'=81.564373519281,'203149_at'=81.7028065599895,'203358_s_at'=371.05495343703,'205590_at'=639.596105050352,'206026_s_at'=18.9098890991232,'221477_s_at'=59.828152154956,'204439_at'=18.3554954159376,'211317_s_at'=47.4937945340277,'203595_s_at'=48.9912768827337,'201502_s_at'=1069.59433215526,'208436_s_at'=51.5629372987805,'204385_at'=107.989459905453,'211316_x_at'=108.759432893713,'203882_at'=284.19397097306,'208485_x_at'=123.475921910033,'202086_at'=79.1751795749565,'207535_s_at'=167.486250457683,'204490_s_at'=459.104283393257,'204415_at'=58.3326046735133,'202644_s_at'=1480.48189825017,'215223_s_at'=86.5256963150898,'1405_i_at'=101.774716391161,'206025_s_at'=15.6927340710607,'205226_at'=19.7827496152812,'32541_at'=20.8383409245439,'212960_at'=47.5857855207744,'213098_at'=89.0611644355313,Class=conventionalTcells,'210663_s_at'=49.9242657873019,'202907_s_at'=66.4929551776057,'218656_s_at'=15.3990624009087,'210029_at'=48.5095160393518,'211862_x_at'=120.702523359307,'212841_s_at'=53.8867757875175,'215299_x_at'=107.203738268317
Instance17:'219691_at'=27.0646903214781,'215485_s_at'=219.584511698725,'205114_s_at'=36.171973091542,'204655_at'=43.7322390633843,'208864_s_at'=862.282387748134,'220091_at'=43.2800712252486,'205569_at'=64.0410175105433,'219424_at'=115.254627634793,'214486_x_at'=141.026571382702,'202643_s_at'=395.176023652424,'209508_x_at'=77.1594646103295,'203149_at'=79.5388794104021,'203358_s_at'=257.68179930537,'205590_at'=264.404558404339,'206026_s_at'=19.9524183266747,'221477_s_at'=66.486712727095,'204439_at'=26.4701601248894,'211317_s_at'=39.6205689358604,'203595_s_at'=65.6547614956,'201502_s_at'=1154.11289806822,'208436_s_at'=100.911456221051,'204385_at'=114.586581827165,'211316_x_at'=88.9026068055197,'203882_at'=277.249429319738,'208485_x_at'=109.631500115831,'202086_at'=111.450558946515,'207535_s_at'=199.962549657017,'204490_s_at'=506.611206650843,'204415_at'=144.924870627277,'202644_s_at'=1165.50337040499,'215223_s_at'=113.987163135769,'1405_i_at'=22.2055440966492,'206025_s_at'=14.066707066163,'205226_at'=18.26315324112,'32541_at'=24.391513164304,'212960_at'=52.481050220895,'213098_at'=80.077087474765,Class=conventionalTcells,'210663_s_at'=60.1889516129887,'202907_s_at'=73.6022725164303,'218656_s_at'=15.0434026779288,'210029_at'=55.4690574207962,'211862_x_at'=125.94662076075,'212841_s_at'=54.3807632117452,'215299_x_at'=111.539750495365
Instance18:'219691_at'=28.6712279597404,'215485_s_at'=151.35848908147,'205114_s_at'=35.2584715600793,'204655_at'=34.1655303524021,'208864_s_at'=72.0455735778817,'220091_at'=50.3656098094214,'205569_at'=31.725091257949,'219424_at'=63.5586053700863,'214486_x_at'=133.022281962081,'202643_s_at'=4194.04297863282,'209508_x_at'=78.7652559899676,'203149_at'=90.5712124376508,'203358_s_at'=31.8644966139433,'205590_at'=661.76364271845,'206026_s_at'=20.5868815974365,'221477_s_at'=120.127382723764,'204439_at'=23.5624357718566,'211317_s_at'=33.7274999385081,'203595_s_at'=81.5721739647201,'201502_s_at'=2888.15850288663,'208436_s_at'=76.5963503993675,'204385_at'=122.418017526102,'211316_x_at'=119.017717452617,'203882_at'=267.947996976338,'208485_x_at'=99.0050317968505,'202086_at'=132.796089782263,'207535_s_at'=259.816325678575,'204490_s_at'=789.29737112499,'204415_at'=70.3206244978134,'202644_s_at'=8183.96358648935,'215223_s_at'=147.567352603422,'1405_i_at'=13.6272048947214,'206025_s_at'=17.0332037320047,'205226_at'=30.9982610888578,'32541_at'=41.2676769057426,'212960_at'=60.0215795215113,'213098_at'=62.4120749550461,Class=naiveTcells,'210663_s_at'=54.3103704306872,'202907_s_at'=38.8766998682006,'218656_s_at'=14.6393665994291,'210029_at'=66.4703041234538,'211862_x_at'=94.052742221623,'212841_s_at'=75.7207548891148,'215299_x_at'=103.682515549138
Instance19:'219691_at'=27.3597894685595,'215485_s_at'=163.45494505018,'205114_s_at'=35.567010903315,'204655_at'=39.2344456640707,'208864_s_at'=956.03382623032,'220091_at'=22.0642524810476,'205569_at'=107.493737900192,'219424_at'=66.2766516655305,'214486_x_at'=164.249315115926,'202643_s_at'=596.207259770718,'209508_x_at'=101.065274602676,'203149_at'=66.093984823822,'203358_s_at'=386.927719079757,'205590_at'=352.810611332225,'206026_s_at'=17.2014535124427,'221477_s_at'=98.335787558577,'204439_at'=166.405622504115,'211317_s_at'=59.6521942884031,'203595_s_at'=85.3581580439921,'201502_s_at'=1920.72255546958,'208436_s_at'=77.7502816048834,'204385_at'=128.999454675659,'211316_x_at'=170.454903703132,'203882_at'=514.642179471287,'208485_x_at'=225.251159883089,'202086_at'=432.156810024084,'207535_s_at'=214.079777809362,'204490_s_at'=983.15830347189,'204415_at'=121.637059646828,'202644_s_at'=1658.03591088105,'215223_s_at'=162.668035191955,'1405_i_at'=20.1197347602984,'206025_s_at'=15.0444194899646,'205226_at'=14.5550231761877,'32541_at'=19.8820326594265,'212960_at'=42.3237639094898,'213098_at'=65.6138313878867,Class=conventionalTcells,'210663_s_at'=58.510995609446,'202907_s_at'=94.5370409191041,'218656_s_at'=14.116829864038,'210029_at'=52.874888302229,'211862_x_at'=245.671400568835,'212841_s_at'=60.5631146724094,'215299_x_at'=96.7279744750874
Instance20:'219691_at'=19.1172585675354,'215485_s_at'=170.706978562878,'205114_s_at'=49.0314955745593,'204655_at'=39.9519678330393,'208864_s_at'=973.915597490953,'220091_at'=22.3886635488915,'205569_at'=51.6879990074368,'219424_at'=98.4152908132064,'214486_x_at'=180.101302735109,'202643_s_at'=575.929810558431,'209508_x_at'=141.374037227465,'203149_at'=72.1262645776065,'203358_s_at'=304.631422281462,'205590_at'=301.016012089675,'206026_s_at'=19.6260903926806,'221477_s_at'=89.3510200895265,'204439_at'=27.3790210392807,'211317_s_at'=92.6760583792726,'203595_s_at'=59.9619621827909,'201502_s_at'=2611.23359191552,'208436_s_at'=39.9519678330393,'204385_at'=107.772609020919,'211316_x_at'=252.055372230819,'203882_at'=592.207781176256,'208485_x_at'=244.289881401608,'202086_at'=117.31382766078,'207535_s_at'=221.14513730351,'204490_s_at'=954.566606746341,'204415_at'=72.1606522244918,'202644_s_at'=1807.92215959401,'215223_s_at'=296.831235311652,'1405_i_at'=18.8668919542321,'206025_s_at'=13.4075754664377,'205226_at'=19.2943957465542,'32541_at'=23.8540803394,'212960_at'=55.2885179414192,'213098_at'=77.4702110660866,Class=conventionalTcells,'210663_s_at'=49.639782277139,'202907_s_at'=90.8318687888093,'218656_s_at'=15.4454616492335,'210029_at'=60.1977240867741,'211862_x_at'=275.868787703069,'212841_s_at'=71.0853947598679,'215299_x_at'=134.134712145737
Instance21:'219691_at'=25.6251899230464,'215485_s_at'=165.384209924702,'205114_s_at'=35.116116359139,'204655_at'=47.3523876709731,'208864_s_at'=1369.13069131377,'220091_at'=24.1256471308529,'205569_at'=46.7451051656922,'219424_at'=53.2822694282136,'214486_x_at'=127.305569135971,'202643_s_at'=451.273617586849,'209508_x_at'=78.7569825710983,'203149_at'=82.737953555478,'203358_s_at'=371.529831048643,'205590_at'=833.0379045126,'206026_s_at'=18.0108413405446,'221477_s_at'=54.0553755942389,'204439_at'=18.4028962079992,'211317_s_at'=49.9563641926158,'203595_s_at'=56.9006381766289,'201502_s_at'=2092.61037080476,'208436_s_at'=34.2300172717443,'204385_at'=117.325498365063,'211316_x_at'=165.047852345237,'203882_at'=340.610847896486,'208485_x_at'=143.888250033185,'202086_at'=64.7242394314553,'207535_s_at'=141.122907227553,'204490_s_at'=658.006553436604,'204415_at'=75.8557082073498,'202644_s_at'=1671.96290481513,'215223_s_at'=117.275233180857,'1405_i_at'=17.7559241952903,'206025_s_at'=15.0503246552464,'205226_at'=16.5579045340068,'32541_at'=20.8254787148791,'212960_at'=55.997348532973,'213098_at'=66.8583052552698,Class=conventionalTcells,'210663_s_at'=51.8479040431581,'202907_s_at'=67.9055864331066,'218656_s_at'=13.471216202181,'210029_at'=54.467162696539,'211862_x_at'=157.841598240081,'212841_s_at'=61.7163024915196,'215299_x_at'=132.927061597548
Instance22:'219691_at'=24.1157816875919,'215485_s_at'=156.397102823991,'205114_s_at'=30.7037556680177,'204655_at'=415.088563666521,'208864_s_at'=811.576700245362,'220091_at'=22.0931046514499,'205569_at'=93.8676451359423,'219424_at'=85.4858256858144,'214486_x_at'=194.60536639996,'202643_s_at'=523.304057099632,'209508_x_at'=117.973681061223,'203149_at'=84.7694454967248,'203358_s_at'=353.338635252714,'205590_at'=259.062837464712,'206026_s_at'=18.1183406363951,'221477_s_at'=80.2427827201166,'204439_at'=78.5270754975117,'211317_s_at'=90.1131817555678,'203595_s_at'=69.7641697711505,'201502_s_at'=2447.22321038188,'208436_s_at'=91.0311366556364,'204385_at'=100.072104237058,'211316_x_at'=162.061108688355,'203882_at'=523.490285698514,'208485_x_at'=203.658304106726,'202086_at'=226.497401799064,'207535_s_at'=130.773798250747,'204490_s_at'=992.83429317117,'204415_at'=134.521714940839,'202644_s_at'=1733.95268170742,'215223_s_at'=248.52639931064,'1405_i_at'=181.893140828423,'206025_s_at'=14.9422606942845,'205226_at'=21.5309078684792,'32541_at'=20.8852602979675,'212960_at'=47.1097357053118,'213098_at'=86.3715300299304,Class=conventionalTcells,'210663_s_at'=62.1192659272678,'202907_s_at'=74.89581019989,'218656_s_at'=15.0276049326316,'210029_at'=52.4614367166171,'211862_x_at'=315.404134257367,'212841_s_at'=62.4689190677356,'215299_x_at'=105.866870357987
Instance23:'219691_at'=23.9110845367497,'215485_s_at'=152.463485126041,'205114_s_at'=23.803615861908,'204655_at'=260.854479207911,'208864_s_at'=961.085079262468,'220091_at'=28.7980397886278,'205569_at'=36.5412850947645,'219424_at'=117.451989671072,'214486_x_at'=173.601005236196,'202643_s_at'=536.192884924378,'209508_x_at'=123.698271182746,'203149_at'=82.7554341591442,'203358_s_at'=400.073925293532,'205590_at'=668.428284649114,'206026_s_at'=19.7516038654891,'221477_s_at'=59.2938651259186,'204439_at'=24.9596250003019,'211317_s_at'=64.7473395871453,'203595_s_at'=56.8409468415619,'201502_s_at'=1836.93180966408,'208436_s_at'=41.7035650851073,'204385_at'=124.680585218398,'211316_x_at'=170.895133721569,'203882_at'=317.375570676747,'208485_x_at'=203.236803762088,'202086_at'=57.9043959671387,'207535_s_at'=173.095229321633,'204490_s_at'=626.019262096782,'204415_at'=83.2056676584496,'202644_s_at'=1472.99849698653,'215223_s_at'=131.985514553732,'1405_i_at'=126.553737650297,'206025_s_at'=14.281156523567,'205226_at'=21.1077775777596,'32541_at'=20.5367525365223,'212960_at'=46.6623526243123,'213098_at'=78.0810543393765,Class=conventionalTcells,'210663_s_at'=63.3547217099472,'202907_s_at'=92.6039063726668,'218656_s_at'=14.3381611610366,'210029_at'=59.3929028653867,'211862_x_at'=235.648998580404,'212841_s_at'=53.1526785337032,'215299_x_at'=116.73887572021
Instance24:'219691_at'=25.1166863143799,'215485_s_at'=110.395937901392,'205114_s_at'=81.7856071190883,'204655_at'=18.4278676137211,'208864_s_at'=120.499155467821,'220091_at'=28.930975314192,'205569_at'=24.2100399258397,'219424_at'=38.7833675120881,'214486_x_at'=99.632085272688,'202643_s_at'=4267.34214714814,'209508_x_at'=91.426632621892,'203149_at'=79.4281360280432,'203358_s_at'=61.5352005982508,'205590_at'=1023.41787582285,'206026_s_at'=19.5354238537909,'221477_s_at'=80.846166451307,'204439_at'=18.5354320444651,'211317_s_at'=48.9530865373011,'203595_s_at'=106.792355455305,'201502_s_at'=4815.85888094715,'208436_s_at'=116.292407793254,'204385_at'=120.167019933295,'211316_x_at'=170.848441610276,'203882_at'=467.81087508809,'208485_x_at'=137.776364702493,'202086_at'=190.119667648291,'207535_s_at'=317.124744930417,'204490_s_at'=624.502390426167,'204415_at'=55.2246232319762,'202644_s_at'=7309.17121592239,'215223_s_at'=511.02652914175,'1405_i_at'=13.4611437744281,'206025_s_at'=14.6708797673741,'205226_at'=16.0494992475441,'32541_at'=42.0337079990512,'212960_at'=38.4757895657398,'213098_at'=43.8221133303201,Class=naiveTcells,'210663_s_at'=56.6561416986151,'202907_s_at'=92.012967803387,'218656_s_at'=12.8297911376467,'210029_at'=48.1691345811014,'211862_x_at'=142.123390858292,'212841_s_at'=116.839352429101,'215299_x_at'=198.534581158703
Instance25:'219691_at'=25.7416389044264,'215485_s_at'=139.703915950987,'205114_s_at'=89.7921900647376,'204655_at'=40.2642485609468,'208864_s_at'=466.99695009319,'220091_at'=20.2898432112517,'205569_at'=234.496302428804,'219424_at'=32.8884774764413,'214486_x_at'=196.539767618376,'202643_s_at'=620.509765224772,'209508_x_at'=152.452501961732,'203149_at'=80.9333145171924,'203358_s_at'=288.23314677112,'205590_at'=310.5493365421,'206026_s_at'=20.3277252885863,'221477_s_at'=74.5027086698686,'204439_at'=27.8495307033011,'211317_s_at'=134.3544623693,'203595_s_at'=88.0504306833638,'201502_s_at'=3011.43905290556,'208436_s_at'=46.807462049567,'204385_at'=94.0723111591537,'211316_x_at'=330.50235928818,'203882_at'=432.852628496538,'208485_x_at'=235.294539064389,'202086_at'=77.8131122010134,'207535_s_at'=113.156625858652,'204490_s_at'=1374.80049472301,'204415_at'=49.4415863943705,'202644_s_at'=2122.78245295945,'215223_s_at'=149.177315114279,'1405_i_at'=20.0014396761844,'206025_s_at'=16.277451108733,'205226_at'=20.7665612236584,'32541_at'=19.9184739268305,'212960_at'=42.118971104021,'213098_at'=124.106445902796,Class=conventionalTcells,'210663_s_at'=55.5239143926152,'202907_s_at'=166.498235756548,'218656_s_at'=14.6872709800986,'210029_at'=57.1428157229651,'211862_x_at'=302.777575048825,'212841_s_at'=39.4577341725146,'215299_x_at'=71.3252083517444
Instance26:'219691_at'=20.3799771531981,'215485_s_at'=112.508370520967,'205114_s_at'=67.1219520337141,'204655_at'=33.0363330603987,'208864_s_at'=647.242731823753,'220091_at'=25.5601244791454,'205569_at'=256.658930918933,'219424_at'=43.3533385890522,'214486_x_at'=246.277351396024,'202643_s_at'=755.908150517675,'209508_x_at'=238.496786333212,'203149_at'=64.4861981113396,'203358_s_at'=374.100616491545,'205590_at'=755.63945765473,'206026_s_at'=21.1222579900877,'221477_s_at'=77.6400707178104,'204439_at'=19.1835259126383,'211317_s_at'=159.276255904794,'203595_s_at'=88.3484314518473,'201502_s_at'=2047.89836241663,'208436_s_at'=51.2333473158933,'204385_at'=100.327900320619,'211316_x_at'=458.348859691738,'203882_at'=489.202506650461,'208485_x_at'=336.110676696285,'202086_at'=65.6986614176013,'207535_s_at'=156.655928364277,'204490_s_at'=799.395373843819,'204415_at'=37.5183220481044,'202644_s_at'=1686.18712051794,'215223_s_at'=156.054332467157,'1405_i_at'=18.8408567517216,'206025_s_at'=15.056004801498,'205226_at'=17.6769320524843,'32541_at'=19.8438436918284,'212960_at'=42.0948388204132,'213098_at'=105.314266059919,Class=conventionalTcells,'210663_s_at'=49.6406535759028,'202907_s_at'=255.936618444917,'218656_s_at'=13.8568153192639,'210029_at'=51.0291530639336,'211862_x_at'=462.787527024726,'212841_s_at'=41.9666835937407,'215299_x_at'=100.004140004266
Instance27:'219691_at'=16.9527057654145,'215485_s_at'=105.610256058907,'205114_s_at'=63.8423634457732,'204655_at'=51.8417414835086,'208864_s_at'=531.986062717105,'220091_at'=26.8623090475931,'205569_at'=324.720690514856,'219424_at'=34.7492737362332,'214486_x_at'=236.849469521235,'202643_s_at'=654.174135985357,'209508_x_at'=216.946039029959,'203149_at'=64.7413905293118,'203358_s_at'=447.346651657247,'205590_at'=658.97653022258,'206026_s_at'=20.2176806131347,'221477_s_at'=70.916278004821,'204439_at'=21.1935481769644,'211317_s_at'=155.623061705873,'203595_s_at'=98.4550341619679,'201502_s_at'=2587.13237607693,'208436_s_at'=49.927506717859,'204385_at'=113.712166727922,'211316_x_at'=424.812777742606,'203882_at'=372.137429178397,'208485_x_at'=370.02181336853,'202086_at'=65.8249094931513,'207535_s_at'=155.569792965874,'204490_s_at'=910.077080653072,'204415_at'=31.493643439633,'202644_s_at'=2101.14590185557,'215223_s_at'=154.003471554944,'1405_i_at'=19.8600066507955,'206025_s_at'=21.9880464582151,'205226_at'=15.0850743923326,'32541_at'=19.8367875360622,'212960_at'=34.2833731597182,'213098_at'=114.018160734413,Class=conventionalTcells,'210663_s_at'=52.9992639384633,'202907_s_at'=205.01285395763,'218656_s_at'=13.2129765809272,'210029_at'=53.7047483254522,'211862_x_at'=448.184197248524,'212841_s_at'=40.7394413731792,'215299_x_at'=94.8694484181138
Instance28:'219691_at'=26.0304761544725,'215485_s_at'=109.887334863584,'205114_s_at'=97.3800729613633,'204655_at'=36.9134959849556,'208864_s_at'=190.380363215315,'220091_at'=24.3476200092219,'205569_at'=56.9761732836613,'219424_at'=38.5491252801634,'214486_x_at'=128.675697899199,'202643_s_at'=1026.9940651321,'209508_x_at'=133.778501815006,'203149_at'=69.670454508349,'203358_s_at'=425.062887193734,'205590_at'=253.832139424182,'206026_s_at'=18.5486920016418,'221477_s_at'=66.1322183769326,'204439_at'=19.715060767486,'211317_s_at'=56.2442213396045,'203595_s_at'=88.4045362664707,'201502_s_at'=2556.11667728111,'208436_s_at'=105.982573682635,'204385_at'=104.996334685041,'211316_x_at'=198.264269212846,'203882_at'=300.148164131321,'208485_x_at'=163.703021001693,'202086_at'=101.279496037055,'207535_s_at'=168.051387257827,'204490_s_at'=1757.76351403046,'204415_at'=44.1070701076765,'202644_s_at'=2315.15130561375,'215223_s_at'=325.874318735601,'1405_i_at'=15.8832749902316,'206025_s_at'=17.9735421336895,'205226_at'=12.8918069101595,'32541_at'=34.5558615923731,'212960_at'=40.7910817472618,'213098_at'=107.638679518534,Class=conventionalTcells,'210663_s_at'=51.4624093839278,'202907_s_at'=133.594688738082,'218656_s_at'=11.7870217909481,'210029_at'=48.7175645424863,'211862_x_at'=192.69030054382,'212841_s_at'=52.8844189328385,'215299_x_at'=98.8713930347058
Instance29:'219691_at'=29.3896088753059,'215485_s_at'=109.743755122719,'205114_s_at'=94.2434118747501,'204655_at'=37.339449397327,'208864_s_at'=593.691764687847,'220091_at'=23.9976822613917,'205569_at'=205.265979774132,'219424_at'=39.3280507069523,'214486_x_at'=219.595678885093,'202643_s_at'=765.949027833986,'209508_x_at'=205.797640654396,'203149_at'=71.0084703778737,'203358_s_at'=273.412216698659,'205590_at'=445.48330029298,'206026_s_at'=18.6418197326205,'221477_s_at'=86.6573873790533,'204439_at'=22.0372038342197,'211317_s_at'=179.417111079773,'203595_s_at'=130.195332865395,'201502_s_at'=2639.22118796294,'208436_s_at'=47.6688681402243,'204385_at'=104.175413241598,'211316_x_at'=432.855175483728,'203882_at'=404.979066465131,'208485_x_at'=311.636507198086,'202086_at'=77.4272567419451,'207535_s_at'=177.407630686892,'204490_s_at'=1099.59852825702,'204415_at'=44.9784861337619,'202644_s_at'=2043.60722400193,'215223_s_at'=212.654086567213,'1405_i_at'=17.7302446458369,'206025_s_at'=16.944155577633,'205226_at'=16.2511500682081,'32541_at'=22.2275936737824,'212960_at'=39.4150001204227,'213098_at'=108.337299603647,Class=conventionalTcells,'210663_s_at'=58.9610378884811,'202907_s_at'=180.79434726519,'218656_s_at'=12.7274884386053,'210029_at'=46.5402368717691,'211862_x_at'=483.081692122731,'212841_s_at'=43.1332596366051,'215299_x_at'=86.0788666865837
