Instance1:205569_at=1722.516479,225775_at=624.965942,204415_at=205.996811,210663_s_at=2149.954346,205114_s_at=1683.075928,213098_at=246.23436,1552423_at=169.617493,32541_at=118.975067,215223_s_at=3449.241455,215485_s_at=412.394958,220091_at=368.617584,226702_at=77.467613,212960_at=214.028793,202644_s_at=1034.910522,208864_s_at=7919.515625,202086_at=266.385376,207535_s_at=431.051849,227770_at=249.564133,211317_s_at=1201.005493,224807_at=275.22406,211316_x_at=1180.184204,209508_x_at=800.228394,204490_s_at=2595.558594,201502_s_at=6771.971191,204439_at=23.652487,203358_s_at=120.333099,229450_at=224.107742,226728_at=584.798523,202907_s_at=1322.263184,232392_at=103.546921,208436_s_at=365.363617,231227_at=82.204025,221477_s_at=2525.913574,1555759_a_at=134.39476,Class=Immature,1570253_a_at=40.078556,214486_x_at=814.48407,238727_at=90.919662,204655_at=76.26709,206025_s_at=87.164345,231577_s_at=617.401306,223834_at=916.685181,203882_at=1041.737915,228531_at=210.04567,1405_i_at=51.159416,227458_at=2592.385742,204385_at=2071.427734,230110_at=342.294647,205226_at=54.051643,227361_at=17.85582,203149_at=365.725494,215299_x_at=1373.648926,212841_s_at=1061.544678,210029_at=112.362099,219691_at=260.240936,235276_at=118.892128,202643_s_at=547.928711,219424_at=103.790443,206026_s_at=67.74572,208485_x_at=1255.733887,205590_at=133.878448,227609_at=431.580963,211862_x_at=1228.447876,218656_s_at=259.136719,203595_s_at=330.455841,230146_s_at=143.730316
Instance2:205569_at=876.473511,225775_at=675.998657,204415_at=353.22348,210663_s_at=1836.317993,205114_s_at=1572.253662,213098_at=239.72757,1552423_at=122.765579,32541_at=140.190948,215223_s_at=2427.135742,215485_s_at=412.455658,220091_at=433.378571,226702_at=159.49733,212960_at=303.214447,202644_s_at=805.364075,208864_s_at=6985.688477,202086_at=611.131592,207535_s_at=327.202515,227770_at=275.167511,211317_s_at=978.715698,224807_at=314.264862,211316_x_at=1055.535278,209508_x_at=732.210876,204490_s_at=2785.765625,201502_s_at=5183.950195,204439_at=21.6805,203358_s_at=112.601784,229450_at=411.664124,226728_at=672.521301,202907_s_at=1215.815674,232392_at=80.332726,208436_s_at=329.810059,231227_at=229.469193,221477_s_at=2056.753418,1555759_a_at=528.852844,Class=Immature,1570253_a_at=34.633484,214486_x_at=688.476013,238727_at=68.506279,204655_at=250.207169,206025_s_at=88.878807,231577_s_at=508.705109,223834_at=861.355652,203882_at=1178.432617,228531_at=236.403107,1405_i_at=249.311127,227458_at=2308.33667,204385_at=1637.504883,230110_at=224.376022,205226_at=34.211964,227361_at=29.425932,203149_at=332.288452,215299_x_at=1519.269409,212841_s_at=994.565369,210029_at=135.665543,219691_at=238.635559,235276_at=130.078568,202643_s_at=384.871552,219424_at=96.983475,206026_s_at=74.042603,208485_x_at=1087.215698,205590_at=143.852875,227609_at=405.231079,211862_x_at=1063.811157,218656_s_at=115.470642,203595_s_at=385.59317,230146_s_at=117.334572
Instance3:205569_at=464.501465,225775_at=594.128296,204415_at=846.842224,210663_s_at=2188.873047,205114_s_at=1577.802246,213098_at=266.790527,1552423_at=163.591583,32541_at=148.562637,215223_s_at=2700.378418,215485_s_at=385.333801,220091_at=369.575653,226702_at=263.678986,212960_at=241.995773,202644_s_at=867.363098,208864_s_at=7703.487305,202086_at=1789.372314,207535_s_at=419.422638,227770_at=244.992859,211317_s_at=1157.948608,224807_at=319.660309,211316_x_at=1015.795349,209508_x_at=742.390442,204490_s_at=2171.5896,201502_s_at=7113.617188,204439_at=21.134113,203358_s_at=126.717934,229450_at=783.549683,226728_at=696.574524,202907_s_at=1440.033813,232392_at=131.702682,208436_s_at=475.462372,231227_at=108.791588,221477_s_at=1770.258179,1555759_a_at=355.671539,Class=Immature,1570253_a_at=42.804424,214486_x_at=746.41626,238727_at=49.051338,204655_at=230.10672,206025_s_at=67.089325,231577_s_at=512.190186,223834_at=845.275635,203882_at=1294.609497,228531_at=284.766357,1405_i_at=188.716782,227458_at=2295.024902,204385_at=2191.199219,230110_at=287.195282,205226_at=51.975609,227361_at=13.554107,203149_at=305.437042,215299_x_at=1227.30249,212841_s_at=915.869385,210029_at=80.533989,219691_at=258.124786,235276_at=180.237228,202643_s_at=534.193542,219424_at=91.333977,206026_s_at=42.727695,208485_x_at=1144.283081,205590_at=160.595139,227609_at=743.598572,211862_x_at=1035.344727,218656_s_at=266.262421,203595_s_at=658.135681,230146_s_at=142.356079
Instance4:205569_at=9501.344727,225775_at=2298.936279,204415_at=2984.187988,210663_s_at=5448.828125,205114_s_at=9627.59668,213098_at=426.055664,1552423_at=710.624695,32541_at=453.940247,215223_s_at=14891.62109,215485_s_at=1356.037842,220091_at=1945.662598,226702_at=2196.441162,212960_at=378.452667,202644_s_at=5057.550781,208864_s_at=18012.91406,202086_at=4040.862549,207535_s_at=1179.052124,227770_at=215.335114,211317_s_at=2782.845703,224807_at=2149.154297,211316_x_at=2895.469482,209508_x_at=2177.925293,204490_s_at=4922.155762,201502_s_at=13373.72949,204439_at=591.459778,203358_s_at=633.167175,229450_at=3309.178955,226728_at=341.065125,202907_s_at=3402.000977,232392_at=195.714676,208436_s_at=1840.794678,231227_at=775.553711,221477_s_at=6618.966797,1555759_a_at=10595.82715,Class=Mature,1570253_a_at=120.815506,214486_x_at=1896.987427,238727_at=540.811646,204655_at=4258.852539,206025_s_at=3972.112061,231577_s_at=2761.868652,223834_at=4675.724609,203882_at=1635.708496,228531_at=469.441528,1405_i_at=7110.253906,227458_at=10352.5625,204385_at=5599.035156,230110_at=4317.635742,205226_at=180.761276,227361_at=783.441467,203149_at=831.50415,215299_x_at=799.447021,212841_s_at=2323.426025,210029_at=2386.055664,219691_at=419.357758,235276_at=337.958038,202643_s_at=2618.529785,219424_at=2537.513184,206026_s_at=4239.024902,208485_x_at=2720.605469,205590_at=1454.376587,227609_at=2528.477539,211862_x_at=2813.945801,218656_s_at=1870.095703,203595_s_at=857.338135,230146_s_at=504.845825
Instance5:205569_at=7553.516113,225775_at=1922.605591,204415_at=3713.178711,210663_s_at=6525.371582,205114_s_at=12739.63574,213098_at=431.134796,1552423_at=424.07959,32541_at=444.11853,215223_s_at=14950.75488,215485_s_at=1422.415649,220091_at=2074.4646,226702_at=2533.63208,212960_at=492.035675,202644_s_at=3610.875732,208864_s_at=17687.64258,202086_at=5181.72998,207535_s_at=933.235657,227770_at=161.348465,211317_s_at=3118.324951,224807_at=2150.860352,211316_x_at=2950.592285,209508_x_at=2209.475586,204490_s_at=5325.635742,201502_s_at=12019.98145,204439_at=1504.573608,203358_s_at=657.598145,229450_at=4634.053223,226728_at=308.731934,202907_s_at=2870.794189,232392_at=145.44223,208436_s_at=1870.842773,231227_at=899.965576,221477_s_at=5430.638672,1555759_a_at=13066.5918,Class=Mature,1570253_a_at=117.149887,214486_x_at=1887.803467,238727_at=550.904663,204655_at=5136.182129,206025_s_at=6149.750488,231577_s_at=3394.74585,223834_at=4327.476074,203882_at=1830.410645,228531_at=505.166901,1405_i_at=9033.598633,227458_at=11519.91797,204385_at=5810.280762,230110_at=3608.726318,205226_at=228.770279,227361_at=744.19519,203149_at=812.118347,215299_x_at=764.619141,212841_s_at=1970.269409,210029_at=6746.212402,219691_at=503.121338,235276_at=264.490326,202643_s_at=1977.699707,219424_at=2243.295654,206026_s_at=6009.402344,208485_x_at=3032.52417,205590_at=1214.409058,227609_at=2968.606445,211862_x_at=2853.532959,218656_s_at=1071.835693,203595_s_at=1237.316528,230146_s_at=491.432983
Instance6:205569_at=6919.387695,225775_at=2031.679565,204415_at=4577.452637,210663_s_at=6295.553711,205114_s_at=11664.27832,213098_at=482.195679,1552423_at=522.019409,32541_at=542.182922,215223_s_at=15839.70703,215485_s_at=1600.626221,220091_at=1888.352051,226702_at=2584.49292,212960_at=789.695557,202644_s_at=5467.264648,208864_s_at=17035.35938,202086_at=6748.145508,207535_s_at=1444.025513,227770_at=131.592926,211317_s_at=3038.135742,224807_at=2894.307373,211316_x_at=3224.978027,209508_x_at=2177.866211,204490_s_at=6759.075684,201502_s_at=16510.4668,204439_at=1250.404175,203358_s_at=935.892639,229450_at=3807.491455,226728_at=359.977875,202907_s_at=4087.884033,232392_at=279.755768,208436_s_at=2528.778809,231227_at=1102.187378,221477_s_at=5965.255371,1555759_a_at=14946.04297,Class=Mature,1570253_a_at=205.06041,214486_x_at=1922.834961,238727_at=650.815674,204655_at=5619.954102,206025_s_at=5172.48584,231577_s_at=3672.516846,223834_at=4845.359375,203882_at=1909.815674,228531_at=583.971741,1405_i_at=9187.837891,227458_at=11652.99609,204385_at=6048.221191,230110_at=3957.311523,205226_at=230.831909,227361_at=928.09314,203149_at=1334.595703,215299_x_at=935.75531,212841_s_at=2105.712646,210029_at=6320.733398,219691_at=596.926331,235276_at=362.716919,202643_s_at=3235.976563,219424_at=2107.553223,206026_s_at=4973.81543,208485_x_at=3256.295166,205590_at=1150.874634,227609_at=3489.08252,211862_x_at=3149.359375,218656_s_at=1460.219116,203595_s_at=1576.88623,230146_s_at=504.372894
Instance7:205569_at=6279.674316,225775_at=1522.481567,204415_at=2891.501465,210663_s_at=3973.626465,205114_s_at=5543.891113,213098_at=342.475677,1552423_at=596.444519,32541_at=305.845428,215223_s_at=11745.61621,215485_s_at=845.198425,220091_at=1325.92688,226702_at=2666.173584,212960_at=378.86203,202644_s_at=3858.078125,208864_s_at=14652.7041,202086_at=5157.26709,207535_s_at=958.808228,227770_at=174.466995,211317_s_at=2500.578613,224807_at=1365.519775,211316_x_at=2360.063721,209508_x_at=1665.148438,204490_s_at=3824.719238,201502_s_at=11617.33496,204439_at=1146.957153,203358_s_at=494.264038,229450_at=4633.654297,226728_at=452.787506,202907_s_at=3231.968506,232392_at=181.238846,208436_s_at=1772.857544,231227_at=543.454529,221477_s_at=4962.288086,1555759_a_at=9437.526367,Class=Mature,1570253_a_at=97.633163,214486_x_at=1641.396606,238727_at=382.89566,204655_at=4278.662598,206025_s_at=4003.307861,231577_s_at=2606.661377,223834_at=3676.624023,203882_at=1556.446289,228531_at=566.279358,1405_i_at=6137.801758,227458_at=8465.800781,204385_at=4074.407471,230110_at=2636.531006,205226_at=227.891571,227361_at=443.315002,203149_at=598.655212,215299_x_at=999.18042,212841_s_at=1676.797729,210029_at=6193.839355,219691_at=608.197449,235276_at=360.537415,202643_s_at=2165.826416,219424_at=1386.960815,206026_s_at=4098.279297,208485_x_at=2305.461182,205590_at=674.405029,227609_at=2627.449463,211862_x_at=2310.359619,218656_s_at=1017.435608,203595_s_at=1026.162842,230146_s_at=332.875092
Instance8:205569_at=5982.14209,225775_at=2215.032715,204415_at=5193.375488,210663_s_at=6665.901367,205114_s_at=12834.67481,213098_at=470.39566,1552423_at=477.965027,32541_at=538.739075,215223_s_at=17647.78711,215485_s_at=1890.243164,220091_at=2403.568604,226702_at=4153.845703,212960_at=788.235657,202644_s_at=5226.29541,208864_s_at=16580.87891,202086_at=7998.715332,207535_s_at=1372.268555,227770_at=123.185349,211317_s_at=3536.194092,224807_at=2636.932373,211316_x_at=3387.979492,209508_x_at=2478.656494,204490_s_at=6936.023926,201502_s_at=15511.06055,204439_at=2518.661865,203358_s_at=863.910156,229450_at=7746.688477,226728_at=218.785995,202907_s_at=4407.225098,232392_at=206.80101,208436_s_at=2658.513184,231227_at=836.490051,221477_s_at=7600.077148,1555759_a_at=15048.45508,Class=Mature,1570253_a_at=169.755341,214486_x_at=2240.977539,238727_at=1116.437378,204655_at=5480.137207,206025_s_at=9909.000977,231577_s_at=4960.091797,223834_at=4901.30127,203882_at=2149.447021,228531_at=745.388428,1405_i_at=9437.861328,227458_at=13085.87598,204385_at=6389.493164,230110_at=3951.456787,205226_at=378.193146,227361_at=1187.873291,203149_at=1213.855713,215299_x_at=689.951904,212841_s_at=2111.154053,210029_at=12595.03223,219691_at=763.647583,235276_at=474.97113,202643_s_at=3437.471436,219424_at=2706.447754,206026_s_at=8849.459961,208485_x_at=3499.555664,205590_at=1108.918701,227609_at=4564.632324,211862_x_at=3357.255615,218656_s_at=1019.435669,203595_s_at=2031.846924,230146_s_at=379.735657
Instance9:205569_at=6619.094238,225775_at=1964.787598,204415_at=5127.785156,210663_s_at=7240.29248,205114_s_at=10968.17285,213098_at=415.305969,1552423_at=340.831635,32541_at=582.342957,215223_s_at=17875.30469,215485_s_at=1556.640137,220091_at=2081.570801,226702_at=4231.790527,212960_at=657.941772,202644_s_at=5990.410156,208864_s_at=18603.14648,202086_at=8707.925781,207535_s_at=1433.375,227770_at=132.394119,211317_s_at=3339.795654,224807_at=2723.325195,211316_x_at=3053.632813,209508_x_at=2044.674683,204490_s_at=7090.366211,201502_s_at=15497.64941,204439_at=2335.019043,203358_s_at=1041.297485,229450_at=7258.329102,226728_at=279.041992,202907_s_at=4976.606934,232392_at=179.502518,208436_s_at=2696.765625,231227_at=1282.007202,221477_s_at=6476.831543,1555759_a_at=16957.91016,Class=Mature,1570253_a_at=201.56282,214486_x_at=2072.558838,238727_at=945.403503,204655_at=7036.188477,206025_s_at=7158.541016,231577_s_at=5454.771973,223834_at=5088.750977,203882_at=1953.360962,228531_at=857.126953,1405_i_at=11685.66992,227458_at=12039.82324,204385_at=7610.382324,230110_at=4461.265137,205226_at=300.251038,227361_at=1254.898804,203149_at=1172.985962,215299_x_at=962.240417,212841_s_at=2027.470703,210029_at=11882.98731,219691_at=826.14325,235276_at=476.929565,202643_s_at=3570.446777,219424_at=2003.318359,206026_s_at=6564.726563,208485_x_at=2862.295654,205590_at=912.662964,227609_at=4397.80957,211862_x_at=2860.397461,218656_s_at=1870.514404,203595_s_at=2172.46582,230146_s_at=384.49826
Instance10:205569_at=1294.643799,225775_at=751.875244,204415_at=148.802582,210663_s_at=1525.620117,205114_s_at=2019.91626,213098_at=168.805405,1552423_at=144.550629,32541_at=101.22049,215223_s_at=1346.823242,215485_s_at=383.098907,220091_at=506.833344,226702_at=33.049049,212960_at=159.460831,202644_s_at=788.699829,208864_s_at=5593.395508,202086_at=107.343567,207535_s_at=154.336365,227770_at=244.701935,211317_s_at=669.660278,224807_at=297.164093,211316_x_at=1188.819214,209508_x_at=827.665649,204490_s_at=3163.246826,201502_s_at=3940.995605,204439_at=25.421988,203358_s_at=43.912544,229450_at=139.869324,226728_at=687.955017,202907_s_at=334.55661,232392_at=62.40955,208436_s_at=363.615967,231227_at=183.550735,221477_s_at=1616.689209,1555759_a_at=674.785889,Class=Immature,1570253_a_at=34.844845,214486_x_at=724.034973,238727_at=38.055138,204655_at=250.724945,206025_s_at=131.496109,231577_s_at=119.44268,223834_at=582.340637,203882_at=771.17865,228531_at=174.916763,1405_i_at=135.441772,227458_at=2509.167725,204385_at=1607.247803,230110_at=140.096664,205226_at=27.416664,227361_at=13.068864,203149_at=271.311554,215299_x_at=1616.365356,212841_s_at=709.489258,210029_at=177.521652,219691_at=171.63295,235276_at=166.824005,202643_s_at=340.685852,219424_at=111.466415,206026_s_at=135.919174,208485_x_at=1001.283264,205590_at=28.544439,227609_at=100.248901,211862_x_at=919.515686,218656_s_at=116.477127,203595_s_at=201.616959,230146_s_at=97.240814
